city,characteristics,image
Coconut Grove,Garden,01.jpg
Coconut Grove,Pool,02.jpg
Coconut Grove,Waterfront,13.jpg
Coconut Grove,Houses,14.jpg
Coconut Grove,Condos,15.jpg
Coconut Grove,Townhomes,16.jpg
Fisher Island,Garden,03.jpg
Fisher Island,Pool,04.jpg
Fisher Island,Waterfront,17.jpg
Fisher Island,Houses,18.jpg
Fisher Island,Condos,19.jpg
Fisher Island,Townhomes,20.jpg
Fort Lauderdale,Garden,05.jpg
Fort Lauderdale,Pool,06.jpg
Fort Lauderdale,Waterfront,21.jpg
Fort Lauderdale,Houses,22.jpg
Fort Lauderdale,Condos,23.jpg
Fort Lauderdale,Townhomes,24.jpg
Homestead,Garden,07.jpg
Homestead,Pool,08.jpg
Homestead,Waterfront,25.jpg
Homestead,Houses,26.jpg
Homestead,Condos,27.jpg
Homestead,Townhomes,28.jpg
Miami Beach,Garden,09.jpg
Miami Beach,Pool,10.jpg
Miami Beach,Waterfront,29.jpg
Miami Beach,Houses,30.jpg
Miami Beach,Condos,31.jpg
Miami Beach,Townhomes,32.jpg
Coral Gables,Garden,11.jpg
Coral Gables,Pool,12.jpg
Coral Gables,Waterfront,33.jpg
Coral Gables,Houses,34.jpg
Coral Gables,Condos,35.jpg
Coral Gables,Townhomes,36.jpg
