Assoc_Fee_Paid,Beds,Carpeted,Ceramic,Corner_Unit,East_Of_Us_One,FBaths,Garage_Spaces,HBaths,Housing_Older_Persons_Act,Intracoastal_View,No_Lease_Onest_Year_Owned,Ocean_View,Ok_To_Lease,One_Space,Pets_Allowed,Predicted_Price,SqFt_Liv_Area,Style,Tile,Two_Or_More_Spaces,Waterfront,Wood,Year_Built,Zip_Code
2,2,1,1,1,1,2,2,1,2,1,1,1,1,1,1,407448.12,400,3,1,1,1,0,2020,33493
6,3,1,1,1,1,3,1,1,2,1,1,1,1,0,2,441578.28125,420,2,0,1,0,1,2018,33493
40,2,1,1,1,1,3,1,1,2,1,1,0,1,1,1,401666.8125,401,3,1,1,1,1,2018,33486
30,2,1,0,1,1,2,1,1,2,1,1,1,1,1,1,356402.59375,1200,3,1,1,1,1,2018,33487
40,3,1,1,1,1,2,1,1,2,1,1,0,0,0,2,359488.96875,1000,3,1,1,1,1,2018,33486
30,3,1,1,1,1,2,1,0,2,1,1,0,1,1,2,331216.53125,400,3,0,1,1,1,2018,33493
30,3,1,1,1,1,2,1,0,2,1,1,0,1,1,2,331216.53125,400,3,0,1,1,1,2018,33493
30,3,0,1,1,1,3,1,1,2,1,1,1,1,0,1,478931.40625,1000,3,1,0,1,1,2019,33493
30,5,0,1,1,1,3,1,1,2,1,1,1,1,0,1,486651.4375,1000,3,1,0,1,1,2019,33493
34,5,0,1,1,1,3,2,1,2,1,1,1,1,0,1,517393.40625,1200,3,1,1,1,1,2019,33486
30,4,1,1,1,1,2,2,1,2,0,1,1,1,1,2,329916.6875,1000,3,1,0,1,1,2017,33487
30,4,0,1,1,1,2,1,1,2,1,1,1,1,1,1,490302.75,1000,3,1,0,1,0,2018,33487
580,1,0,0,0,1,1,1,1,1,1,1,0,0,1,2,203759.203125,950,1,1,0,1,1,1976,33160
